PAR,time,acc,Rep,lw,gs,Induction
1500,150,rice142,3,1.2,0.11456,
1500,160,rice142,3,1.2,0.12976,
1500,170,rice142,3,1.2,0.148,
1500,180,rice142,3,1.2,0.16566,
1500,190,rice142,3,1.2,0.19424,
1500,200,rice142,3,1.2,0.212,
1500,210,rice142,3,1.2,0.22758,
1500,220,rice142,3,1.2,0.24205,
1500,230,rice142,3,1.2,0.25511,
1500,240,rice142,3,1.2,0.26802,
1500,250,rice142,3,1.2,0.28323,
1500,260,rice142,3,1.2,0.29783,
1500,270,rice142,3,1.2,0.309,
1500,280,rice142,3,1.2,0.31734,
1500,290,rice142,3,1.2,0.32497,
1500,300,rice142,3,1.2,0.32984,
1500,310,rice142,3,1.2,0.33002,
1500,320,rice142,3,1.2,0.34027,
1500,330,rice142,3,1.2,0.34608,
1500,340,rice142,3,1.2,0.35029,
1500,350,rice142,3,1.2,0.3526,
1500,360,rice142,3,1.2,0.35451,
1500,370,rice142,3,1.2,0.34612,
1500,380,rice142,3,1.2,0.35243,
1500,390,rice142,3,1.2,0.35427,
1500,400,rice142,3,1.2,0.35373,
1500,410,rice142,3,1.2,0.35335,
1500,420,rice142,3,1.2,0.3517,
1500,430,rice142,3,1.2,0.34145,
1500,440,rice142,3,1.2,0.3503,
1500,450,rice142,3,1.2,0.35212,
1500,460,rice142,3,1.2,0.35066,
1500,470,rice142,3,1.2,0.35018,
1500,480,rice142,3,1.2,0.34977,
1500,490,rice142,3,1.2,0.34052,
1500,500,rice142,3,1.2,0.34818,
1500,510,rice142,3,1.2,0.34976,
1500,520,rice142,3,1.2,0.3493,
1500,530,rice142,3,1.2,0.34717,
1500,540,rice142,3,1.2,0.34563,
1500,550,rice142,3,1.2,0.33329,
1500,560,rice142,3,1.2,0.33776,
1500,570,rice142,3,1.2,0.33693,
1500,580,rice142,3,1.2,0.33557,
1500,590,rice142,3,1.2,0.33384,
1500,600,rice142,3,1.2,0.33264,
1500,610,rice142,3,1.2,0.31873,
1500,620,rice142,3,1.2,0.32461,
1500,630,rice142,3,1.2,0.32313,
1500,640,rice142,3,1.2,0.32026,
1500,650,rice142,3,1.2,0.31843,
1500,660,rice142,3,1.2,0.31567,
1500,670,rice142,3,1.2,0.30123,
1500,680,rice142,3,1.2,0.30549,
1500,690,rice142,3,1.2,0.30458,
1500,700,rice142,3,1.2,0.30214,
1500,710,rice142,3,1.2,0.29883,
1500,720,rice142,3,1.2,0.2948,
1500,730,rice142,3,1.2,0.28057,
1500,740,rice142,3,1.2,0.28449,
1500,750,rice142,3,1.2,0.28307,
1500,760,rice142,3,1.2,0.28003,
1500,770,rice142,3,1.2,0.27632,
1500,780,rice142,3,1.2,0.27362,
1500,790,rice142,3,1.2,0.26291,
1500,800,rice142,3,1.2,0.26637,
1500,810,rice142,3,1.2,0.26618,
1500,820,rice142,3,1.2,0.26504,
1500,830,rice142,3,1.2,0.26196,
1500,840,rice142,3,1.2,0.25878,
1500,850,rice142,3,1.2,0.24635,
1500,860,rice142,3,1.2,0.2496,
1500,870,rice142,3,1.2,0.24814,
1500,880,rice142,3,1.2,0.24601,
1500,890,rice142,3,1.2,0.24346,
1500,900,rice142,3,1.2,0.2423,
100,910,rice142,3,1.2,0.2587,
100,920,rice142,3,1.2,0.24546,
100,930,rice142,3,1.2,0.24033,
100,940,rice142,3,1.2,0.23571,
100,950,rice142,3,1.2,0.22992,
100,960,rice142,3,1.2,0.225,
100,970,rice142,3,1.2,0.22158,
100,980,rice142,3,1.2,0.21365,
100,990,rice142,3,1.2,0.20826,
100,1000,rice142,3,1.2,0.20893,
100,1010,rice142,3,1.2,0.20605,
100,1020,rice142,3,1.2,0.20144,
100,1030,rice142,3,1.2,0.19752,
100,1040,rice142,3,1.2,0.18889,
100,1050,rice142,3,1.2,0.18083,
100,1060,rice142,3,1.2,0.17143,
100,1070,rice142,3,1.2,0.15848,
100,1080,rice142,3,1.2,0.14956,
100,1090,rice142,3,1.2,0.13857,
100,1100,rice142,3,1.2,0.12603,
100,1110,rice142,3,1.2,0.11445,
100,1120,rice142,3,1.2,0.10499,
100,1130,rice142,3,1.2,0.09617,
100,1140,rice142,3,1.2,0.0894,
100,1150,rice142,3,1.2,0.08575,
100,1160,rice142,3,1.2,0.07627,
100,1170,rice142,3,1.2,0.06628,
100,1180,rice142,3,1.2,0.0575,
100,1190,rice142,3,1.2,0.05189,
100,1200,rice142,3,1.2,0.04704,
1500,0,rice142,4,1.3,0.10127,
